Dining Hall,Date,Hours
Au Bon Pain - GLC,20221027,Regular Hours 07:30AM - 03:00PM
Au Bon Pain - Squires Cafe,20221027,Regular Hours 07:30AM - 08:00PM
Au Bon Pain at Goodwin Hall,20221027,Regular Hours 07:30AM - 04:00PM
Burger '37,20221027,Lunch/Dinner 05:00PM - 09:00PM
Dietrick - D2,20221027,Breakfast 07:00AM - 10:30AM
Dietrick - Deet's Place,20221027,Regular Hours 07:00AM - 12:00AM
Dietrick - DXpress,20221027,In-Person Orders Only 11:00AM - 02:00AM
Dietrick - Xpress Lane,20221027,Regular Hours 07:00AM - 02:00AM
Dunkin',20221027,Regular Hours 07:30AM - 08:00PM
Hokie Grill & Co.,20221027,Regular Hours 07:30AM - 10:00PM
Owens Food Court,20221027,Breakfast 07:30AM - 10:30AM
Turner Place - 1872 Fire Grill,20221027,Breakfast 07:00AM - 10:00AM
Turner Place - Atomic Pizzeria,20221027,Lunch/Dinner 10:30AM - 08:00PM
Turner Place - Bruegger's Bagels,20221027,Brunch 07:00AM - 03:00PM
Turner Place - Dolci e Caffe,20221027,Regular Hours 07:00AM - 08:00PM
Turner Place - Dolci e Caffe: Grab n Go,20221027,Grab & Gobble 07:00AM - 09:00PM
Turner Place - Jamba,20221027,Regular Hours 07:30AM - 08:00PM
Turner Place - Origami Grill,20221027,Lunch 11:00AM - 03:00PM
Turner Place - Origami Sushi,20221027,Regular Hours 11:00AM - 02:30PM
Turner Place - Qdoba Mexican Eats,20221027,Regular Hours 10:00AM - 09:00PM
Turner Place - Soup Garden,20221027,Grubhub Orders only 10:30AM - 07:00PM
VIVA Market - Johnston Student Center,20221027,Regular Hours 07:30AM - 08:00PM
West End Market,20221027,Regular Hours 10:30AM - 09:00PM
